question_id,method,answerable,ground_truth,final_answer,refused,cited_chunks,latency_ms,cost_usd,is_correct,has_unsupported_claims,refusal_appropriate,notes,judge_latency_ms,judge_cost_usd
q001,keyword,True,1.5 days of PTO per month,- (policy_pto | lines 5-8) - Full-time employees accrue 1.5 days of PTO per month.,False,[],0.0,0.0,True,False,False,mock-judge,0.0,0.0
q001,naive_gpt,True,1.5 days of PTO per month,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q001,rag,True,1.5 days of PTO per month,- (policy_pto | lines 5-8) - Full-time employees accrue 1.5 days of PTO per month.,False,"[{""quote"": ""- Full-time employees accrue 1.5 days of PTO per month.\n- PTO can be carried over up to 10 days into the next calendar year.\n- PTO requests must be submitted at least 5 business days in advance.\n- Managers must respond within 2 business days."", ""doc_id"": ""policy_pto"", ""offset"": ""lines 5-8""}, {""quote"": ""# Policy: Paid Time Off"", ""doc_id"": ""policy_pto"", ""offset"": ""lines 1-1""}]",0.0,0.0,True,False,False,mock-judge,0.0,0.0
q002,keyword,True,10 days,- (policy_pto | lines 5-8) - Full-time employees accrue 1.5 days of PTO per month.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q002,naive_gpt,True,10 days,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q002,rag,True,10 days,- (policy_pto | lines 5-8) - Full-time employees accrue 1.5 days of PTO per month.,False,"[{""quote"": ""- Full-time employees accrue 1.5 days of PTO per month.\n- PTO can be carried over up to 10 days into the next calendar year.\n- PTO requests must be submitted at least 5 business days in advance.\n- Managers must respond within 2 business days."", ""doc_id"": ""policy_pto"", ""offset"": ""lines 5-8""}, {""quote"": ""Company: Northwind Analytics"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q003,keyword,True,at least 5 business days in advance,- (policy_pto | lines 5-8) - Full-time employees accrue 1.5 days of PTO per month.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q003,naive_gpt,True,at least 5 business days in advance,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q003,rag,True,at least 5 business days in advance,- (policy_pto | lines 5-8) - Full-time employees accrue 1.5 days of PTO per month.,False,"[{""quote"": ""- Full-time employees accrue 1.5 days of PTO per month.\n- PTO can be carried over up to 10 days into the next calendar year.\n- PTO requests must be submitted at least 5 business days in advance.\n- Managers must respond within 2 business days."", ""doc_id"": ""policy_pto"", ""offset"": ""lines 5-8""}, {""quote"": ""Company: Northwind Analytics"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q004,keyword,True,economy class,- (policy_travel | lines 5-8) - Domestic flights must be economy class.,False,[],0.0,0.0,True,False,False,mock-judge,0.0,0.0
q004,naive_gpt,True,economy class,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
